Clf,Score
"Clf MultNeg ""loc"" and ""lOCode""",-114.33851879953097
"Clf Binning ""loc"" and ""locCodeAndComment""",-114.33851879953097
"Clf MultNeg ""D"" and ""lOComment""",-114.23215978062402
"Clf MultNeg ""I"" and ""uniq_Opnd""",-114.23215978062402
"Clf MultNeg ""B"" and ""lOComment""",-114.23215978062402
"Clf MultNeg ""lOComment"" and ""total_Opnd""",-114.23215978062402
"Clf MultNeg ""lOComment"" and ""branchCount""",-114.23215978062402
"Clf Binning ""loc"" and ""lOCode""",-114.23215978062402
"Clf Binning ""loc"" and ""lOComment""",-114.23215978062402
"Clf Binning ""lOComment"" and ""locCodeAndComment""",-114.23215978062402
"Clf Binning ""lOComment"" and ""uniq_Opnd""",-114.23215978062402
"Clf MultNeg ""lOComment""",-114.12583907796134
"Clf MultNeg ""lOBlank""",-114.12583907796134
"Clf MultNeg ""loc"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""v(g)"" and ""lOComment""",-114.12583907796134
"Clf MultNeg ""v(g)"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""ev(g)"" and ""lOComment""",-114.12583907796134
"Clf MultNeg ""ev(g)"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""iv(G)"" and ""lOComment""",-114.12583907796134
"Clf MultNeg ""iv(G)"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""N"" and ""lOComment""",-114.12583907796134
"Clf MultNeg ""N"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""V"" and ""lOComment""",-114.12583907796134
"Clf MultNeg ""L"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""L"" and ""uniq_Opnd""",-114.12583907796134
"Clf MultNeg ""D"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""I"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""E"" and ""lOComment""",-114.12583907796134
"Clf MultNeg ""E"" and ""lOBlank""",-114.12583907796134
"Clf MultNeg ""B"" and ""lOBlank""",-114.12583907796134
