Clf,Theta
Clf original data,0.5
"Clf MultNeg ""loc""",0.493993993993994
"Clf MultNeg ""v(g)""",0.5
"Clf MultNeg ""ev(g)""",0.5
"Clf MultNeg ""iv(G)""",0.4984984984984985
"Clf MultNeg ""N""",0.4984984984984985
"Clf MultNeg ""V""",0.4984984984984985
"Clf MultNeg ""L""",0.4984984984984985
"Clf MultNeg ""D""",0.4984984984984985
"Clf MultNeg ""I""",0.496996996996997
"Clf MultNeg ""E""",0.4984984984984985
"Clf MultNeg ""B""",0.4954954954954955
"Clf MultNeg ""T""",0.4984984984984985
"Clf MultNeg ""lOCode""",0.4984984984984985
"Clf MultNeg ""lOComment""",0.490990990990991
"Clf MultNeg ""locCodeAndComment""",0.5
"Clf MultNeg ""lOBlank""",0.490990990990991
"Clf MultNeg ""uniq_Op""",0.4954954954954955
"Clf MultNeg ""uniq_Opnd""",0.493993993993994
"Clf MultNeg ""total_Op""",0.4984984984984985
"Clf MultNeg ""total_Opnd""",0.4984984984984985
"Clf MultNeg ""branchCount""",0.496996996996997
"Clf Binning ""loc""",0.496996996996997
"Clf Binning ""v(g)""",0.5
"Clf Binning ""ev(g)""",0.5
"Clf Binning ""iv(G)""",0.4984984984984985
"Clf Binning ""N""",0.5
"Clf Binning ""V""",0.496996996996997
"Clf Binning ""L""",0.4984984984984985
"Clf Binning ""D""",0.4984984984984985
"Clf Binning ""I""",0.4984984984984985
"Clf Binning ""E""",0.496996996996997
"Clf Binning ""B""",0.4984984984984985
"Clf Binning ""T""",0.4984984984984985
"Clf Binning ""lOCode""",0.496996996996997
"Clf Binning ""lOComment""",0.4984984984984985
"Clf Binning ""locCodeAndComment""",0.4984984984984985
"Clf Binning ""lOBlank""",0.5
"Clf Binning ""uniq_Op""",0.4984984984984985
"Clf Binning ""uniq_Opnd""",0.496996996996997
"Clf Binning ""total_Op""",0.4984984984984985
"Clf Binning ""total_Opnd""",0.496996996996997
"Clf Binning ""branchCount""",0.4984984984984985
"Clf MultNeg ""loc"" and ""v(g)""",0.493993993993994
"Clf MultNeg ""loc"" and ""ev(g)""",0.493993993993994
"Clf MultNeg ""loc"" and ""iv(G)""",0.493993993993994
"Clf MultNeg ""loc"" and ""N""",0.493993993993994
"Clf MultNeg ""loc"" and ""V""",0.4954954954954955
"Clf MultNeg ""loc"" and ""L""",0.493993993993994
"Clf MultNeg ""loc"" and ""D""",0.4954954954954955
"Clf MultNeg ""loc"" and ""I""",0.4924924924924925
"Clf MultNeg ""loc"" and ""E""",0.493993993993994
"Clf MultNeg ""loc"" and ""B""",0.493993993993994
"Clf MultNeg ""loc"" and ""T""",0.493993993993994
"Clf MultNeg ""loc"" and ""lOCode""",0.487987987987988
"Clf MultNeg ""loc"" and ""lOComment""",0.4924924924924925
