,Discriminacao,Dificuldade,Adivinhacao
V0,1.0,0.0,0.05
V1,1.0,0.0,0.05
V2,1.0,0.0,0.051
V3,1.0,0.0,0.051
V4,1.0,0.0,0.051
V5,1.0,0.0,0.052
V6,1.0,0.0,0.052
V7,1.0,0.0,0.052
V8,1.0,0.0,0.052
V9,1.0,0.0,0.053
V10,1.0,0.0,0.053
V11,1.0,0.0,0.053
V12,1.0,0.0,0.054
V13,1.0,0.0,0.054
V14,1.0,0.0,0.054
V15,1.0,0.0,0.055
V16,1.0,0.0,0.055
V17,1.0,0.0,0.055
V18,1.0,0.0,0.055
V19,1.0,0.0,0.056
V20,1.0,0.0,0.056
V21,1.0,0.0,0.056
V22,1.0,0.0,0.057
V23,1.0,0.0,0.057
V24,1.0,0.0,0.057
V25,1.0,0.0,0.058
V26,1.0,0.0,0.058
V27,1.0,0.0,0.058
V28,1.0,0.0,0.058
V29,1.0,0.0,0.059
V30,1.0,0.0,0.059
V31,1.0,0.0,0.059
V32,1.0,0.0,0.06
V33,1.0,0.0,0.06
V34,1.0,0.0,0.06
V35,1.0,0.0,0.061
V36,1.0,0.0,0.061
V37,1.0,0.0,0.061
V38,1.0,0.0,0.061
V39,1.0,0.0,0.062
V40,1.0,0.0,0.062
V41,1.0,0.0,0.062
V42,1.0,0.0,0.063
V43,1.0,0.0,0.063
V44,1.0,0.0,0.063
V45,1.0,0.0,0.064
V46,1.0,0.0,0.064
V47,1.0,0.0,0.064
V48,1.0,0.0,0.064
V49,1.0,0.0,0.065
V50,1.0,0.0,0.065
V51,1.0,0.0,0.065
V52,1.0,0.0,0.066
V53,1.0,0.0,0.066
V54,1.0,0.0,0.066
V55,1.0,0.0,0.067
V56,1.0,0.0,0.067
V57,1.0,0.0,0.067
V58,1.0,0.0,0.067
V59,1.0,0.0,0.068
V60,1.0,0.0,0.068
V61,1.0,0.0,0.068
V62,1.0,0.0,0.069
V63,1.0,0.0,0.069
V64,1.0,0.0,0.069
V65,1.0,0.0,0.07
V66,1.0,0.0,0.07
V67,1.0,0.0,0.07
V68,1.0,0.0,0.07
V69,1.0,0.0,0.071
V70,1.0,0.0,0.071
V71,1.0,0.0,0.071
V72,1.0,0.0,0.072
V73,1.0,0.0,0.072
V74,1.0,0.0,0.072
V75,1.0,0.0,0.073
V76,1.0,0.0,0.073
V77,1.0,0.0,0.073
V78,1.0,0.0,0.073
V79,1.0,0.0,0.074
V80,1.0,0.0,0.074
V81,1.0,0.0,0.074
