,Final Score
locCodeAndComment,-113.75920623769085
uniq_Opnd,-113.75914097329024
loc,-113.75409273347245
B,-113.74394576263224
lOComment,-113.73129499035784
T,-113.69591356661043
lOBlank,-113.67821362831351
branchCount,-113.67569416514145
V,-113.6656015159107
I,-113.65044773484183
L,-113.65040998973052
iv(G),-113.64789145529599
uniq_Op,-113.64536368505837
D,-113.62516832053952
lOCode,-113.62263498961946
N,-113.62009797890202
total_Opnd,-113.6150525935723
E,-113.61252388990151
v(g),-113.60746467199563
ev(g),-113.60746282624068
total_Op,-113.60241560219949
